time_s,queue_family,owner_id,value
0.1,vehicle_power,veh-1,0.0
0.1,vehicle_power,veh-2,0.0
0.1,rsu_power,rsu-1,0.0
0.1,rsu_power,rsu-2,0.0
0.1,timeout,,0.0
0.1,failure,,0.0
0.1,coverage,,1.5
0.12100000000000001,vehicle_power,veh-1,0.004
0.12100000000000001,vehicle_power,veh-2,0.0
0.12100000000000001,rsu_power,rsu-1,0.0
0.12100000000000001,rsu_power,rsu-2,0.0
0.12100000000000001,timeout,,0.0
0.12100000000000001,failure,,0.0
0.12100000000000001,coverage,,1.5
0.1218,vehicle_power,veh-1,0.0
0.1218,vehicle_power,veh-2,0.0
0.1218,rsu_power,rsu-1,0.0
0.1218,rsu_power,rsu-2,0.0
0.1218,timeout,,0.0
0.1218,failure,,0.0
0.1218,coverage,,1.5
0.14484,vehicle_power,veh-1,0.0
0.14484,vehicle_power,veh-2,0.004
0.14484,rsu_power,rsu-1,0.0
0.14484,rsu_power,rsu-2,0.0
0.14484,timeout,,0.0
0.14484,failure,,0.0
0.14484,coverage,,1.5
0.14564,vehicle_power,veh-1,0.0
0.14564,vehicle_power,veh-2,0.0
0.14564,rsu_power,rsu-1,0.0
0.14564,rsu_power,rsu-2,0.0
0.14564,timeout,,0.0
0.14564,failure,,0.0
0.14564,coverage,,1.5
0.15810000000000002,vehicle_power,veh-1,0.0
0.15810000000000002,vehicle_power,veh-2,0.0
0.15810000000000002,rsu_power,rsu-1,0.0
0.15810000000000002,rsu_power,rsu-2,0.0
0.15810000000000002,timeout,,0.0
0.15810000000000002,failure,,0.0
0.15810000000000002,coverage,,0.5
0.20664,vehicle_power,veh-1,0.0
0.20664,vehicle_power,veh-2,0.0
0.20664,rsu_power,rsu-1,0.0
0.20664,rsu_power,rsu-2,0.0
0.20664,timeout,,0.0
0.20664,failure,,0.0
0.20664,coverage,,0.0
0.25,vehicle_power,veh-1,0.0
0.25,vehicle_power,veh-2,0.0
0.25,rsu_power,rsu-1,0.0
0.25,rsu_power,rsu-2,0.0
0.25,timeout,,0.0
0.25,failure,,0.0
0.25,coverage,,0.0
0.5,vehicle_power,veh-1,0.0
0.5,vehicle_power,veh-2,0.0
0.5,rsu_power,rsu-1,0.0
0.5,rsu_power,rsu-2,0.0
0.5,timeout,,0.0
0.5,failure,,0.0
0.5,coverage,,0.0
0.72,vehicle_power,veh-1,0.0
0.72,vehicle_power,veh-2,0.0
0.72,rsu_power,rsu-1,0.0
0.72,rsu_power,rsu-2,0.0
0.72,timeout,,0.0
0.72,failure,,0.0
0.72,coverage,,0.75
0.74478,vehicle_power,veh-1,0.004
0.74478,vehicle_power,veh-2,0.0
0.74478,rsu_power,rsu-1,0.0
0.74478,rsu_power,rsu-2,0.0
0.74478,timeout,,0.0
0.74478,failure,,0.0
0.74478,coverage,,0.75
0.74558,vehicle_power,veh-1,0.0
0.74558,vehicle_power,veh-2,0.0
0.74558,rsu_power,rsu-1,0.0
0.74558,rsu_power,rsu-2,0.0
0.74558,timeout,,0.0
0.74558,failure,,0.0
0.74558,coverage,,0.75
0.75,vehicle_power,veh-1,0.0
0.75,vehicle_power,veh-2,0.0
0.75,rsu_power,rsu-1,0.0
0.75,rsu_power,rsu-2,0.0
0.75,timeout,,0.0
0.75,failure,,0.0
0.75,coverage,,0.75
0.77858,vehicle_power,veh-1,0.0
0.77858,vehicle_power,veh-2,0.0
0.77858,rsu_power,rsu-1,0.0
0.77858,rsu_power,rsu-2,0.0
0.77858,timeout,,0.0
0.77858,failure,,0.0
0.77858,coverage,,0.0
1.0,vehicle_power,veh-1,0.0
1.0,vehicle_power,veh-2,0.0
1.0,rsu_power,rsu-1,0.0
1.0,rsu_power,rsu-2,0.0
1.0,timeout,,0.0
1.0,failure,,0.0
1.0,coverage,,0.0
1.25,vehicle_power,veh-1,0.0
1.25,vehicle_power,veh-2,0.0
1.25,rsu_power,rsu-1,0.0
1.25,rsu_power,rsu-2,0.0
1.25,timeout,,0.0
1.25,failure,,0.0
1.25,coverage,,0.0
1.4,vehicle_power,veh-1,0.0
1.4,vehicle_power,veh-2,0.0
1.4,rsu_power,rsu-1,0.0
1.4,rsu_power,rsu-2,0.0
1.4,timeout,,0.0
1.4,failure,,0.0
1.4,coverage,,0.0
1.42,vehicle_power,veh-1,0.0
1.42,vehicle_power,veh-2,0.0
1.42,rsu_power,rsu-1,0.0
1.42,rsu_power,rsu-2,0.0
1.42,timeout,,0.0
1.42,failure,,0.0
1.42,coverage,,0.75
1.458,vehicle_power,veh-1,0.0
1.458,vehicle_power,veh-2,0.004
1.458,rsu_power,rsu-1,0.0
1.458,rsu_power,rsu-2,0.0
1.458,timeout,,0.0
1.458,failure,,0.0
1.458,coverage,,0.75
1.4587999999999999,vehicle_power,veh-1,0.0
1.4587999999999999,vehicle_power,veh-2,0.0
1.4587999999999999,rsu_power,rsu-1,0.0
1.4587999999999999,rsu_power,rsu-2,0.0
1.4587999999999999,timeout,,0.0
1.4587999999999999,failure,,0.0
1.4587999999999999,coverage,,0.75
1.5,vehicle_power,veh-1,0.0
1.5,vehicle_power,veh-2,0.0
1.5,rsu_power,rsu-1,0.0
1.5,rsu_power,rsu-2,0.0
1.5,timeout,,0.0
1.5,failure,,0.0
1.5,coverage,,0.75
1.5070357799999998,vehicle_power,veh-1,0.0
1.5070357799999998,vehicle_power,veh-2,0.0
1.5070357799999998,rsu_power,rsu-1,0.0
1.5070357799999998,rsu_power,rsu-2,0.0
1.5070357799999998,timeout,,0.0
1.5070357799999998,failure,,0.0
1.5070357799999998,coverage,,0.75
1.5150357799999998,vehicle_power,veh-1,0.0
1.5150357799999998,vehicle_power,veh-2,0.0
1.5150357799999998,rsu_power,rsu-1,0.0
1.5150357799999998,rsu_power,rsu-2,0.0
1.5150357799999998,timeout,,0.0
1.5150357799999998,failure,,0.0
1.5150357799999998,coverage,,0.75
1.5238580019999999,vehicle_power,veh-1,0.0
1.5238580019999999,vehicle_power,veh-2,0.004
1.5238580019999999,rsu_power,rsu-1,0.0
1.5238580019999999,rsu_power,rsu-2,0.0
1.5238580019999999,timeout,,0.0
1.5238580019999999,failure,,0.0
1.5238580019999999,coverage,,0.75
1.5246580019999998,vehicle_power,veh-1,0.0
1.5246580019999998,vehicle_power,veh-2,0.0
1.5246580019999998,rsu_power,rsu-1,0.0
1.5246580019999998,rsu_power,rsu-2,0.0
1.5246580019999998,timeout,,0.0
1.5246580019999998,failure,,0.0
1.5246580019999998,coverage,,0.75
1.6147916859798377,vehicle_power,veh-1,0.0
1.6147916859798377,vehicle_power,veh-2,0.0
1.6147916859798377,rsu_power,rsu-1,0.0
1.6147916859798377,rsu_power,rsu-2,0.0
1.6147916859798377,timeout,,0.0
1.6147916859798377,failure,,0.0
1.6147916859798377,coverage,,0.75
1.6179916859798378,vehicle_power,veh-1,0.0
1.6179916859798378,vehicle_power,veh-2,0.0
1.6179916859798378,rsu_power,rsu-1,0.0
1.6179916859798378,rsu_power,rsu-2,0.0
1.6179916859798378,timeout,,0.0
1.6179916859798378,failure,,0.0
1.6179916859798378,coverage,,0.75
