time_s,queue_family,owner_id,value
0.25,vehicle_power,veh-1,0.0
0.25,vehicle_power,veh-2,0.0
0.25,rsu_power,rsu-1,0.0
0.25,rsu_power,rsu-2,0.0
0.25,timeout,,0.0
0.25,failure,,0.0
0.25,coverage,,0.0
0.29,vehicle_power,veh-1,0.0
0.29,vehicle_power,veh-2,0.0
0.29,rsu_power,rsu-1,0.0
0.29,rsu_power,rsu-2,0.0
0.29,timeout,,0.0
0.29,failure,,0.0
0.29,coverage,,0.0
0.5,vehicle_power,veh-1,0.0
0.5,vehicle_power,veh-2,0.0
0.5,rsu_power,rsu-1,0.0
0.5,rsu_power,rsu-2,0.0
0.5,timeout,,0.0
0.5,failure,,0.0
0.5,coverage,,0.0
0.54,vehicle_power,veh-1,0.0
0.54,vehicle_power,veh-2,0.0
0.54,rsu_power,rsu-1,0.0
0.54,rsu_power,rsu-2,0.0
0.54,timeout,,0.0
0.54,failure,,0.0
0.54,coverage,,0.0
0.75,vehicle_power,veh-1,0.0
0.75,vehicle_power,veh-2,0.0
0.75,rsu_power,rsu-1,0.0
0.75,rsu_power,rsu-2,0.0
0.75,timeout,,0.0
0.75,failure,,0.0
0.75,coverage,,0.0
0.79,vehicle_power,veh-1,0.0
0.79,vehicle_power,veh-2,0.0
0.79,rsu_power,rsu-1,0.0
0.79,rsu_power,rsu-2,0.0
0.79,timeout,,0.0
0.79,failure,,0.0
0.79,coverage,,0.0
0.8,vehicle_power,veh-1,0.0
0.8,vehicle_power,veh-2,0.0
0.8,rsu_power,rsu-1,0.0
0.8,rsu_power,rsu-2,0.0
0.8,timeout,,0.0
0.8,failure,,0.0
0.8,coverage,,0.0
0.933772746,vehicle_power,veh-1,0.0
0.933772746,vehicle_power,veh-2,0.0
0.933772746,rsu_power,rsu-1,0.0
0.933772746,rsu_power,rsu-2,0.0
0.933772746,timeout,,0.0
0.933772746,failure,,0.0
0.933772746,coverage,,0.75
0.9557727460000001,vehicle_power,veh-1,0.004
0.9557727460000001,vehicle_power,veh-2,0.0
0.9557727460000001,rsu_power,rsu-1,0.0
0.9557727460000001,rsu_power,rsu-2,0.0
0.9557727460000001,timeout,,0.0
0.9557727460000001,failure,,0.0
0.9557727460000001,coverage,,0.75
0.9565727460000001,vehicle_power,veh-1,0.0
0.9565727460000001,vehicle_power,veh-2,0.0
0.9565727460000001,rsu_power,rsu-1,0.0
0.9565727460000001,rsu_power,rsu-2,0.0
0.9565727460000001,timeout,,0.0
0.9565727460000001,failure,,0.0
0.9565727460000001,coverage,,0.75
0.9939727460000001,vehicle_power,veh-1,0.0
0.9939727460000001,vehicle_power,veh-2,0.0
0.9939727460000001,rsu_power,rsu-1,0.0
0.9939727460000001,rsu_power,rsu-2,0.0
0.9939727460000001,timeout,,0.0
0.9939727460000001,failure,,0.0
0.9939727460000001,coverage,,0.0
1.0,vehicle_power,veh-1,0.0
1.0,vehicle_power,veh-2,0.0
1.0,rsu_power,rsu-1,0.0
1.0,rsu_power,rsu-2,0.0
1.0,timeout,,0.0
1.0,failure,,0.0
1.0,coverage,,0.0
1.04,vehicle_power,veh-1,0.0
1.04,vehicle_power,veh-2,0.0
1.04,rsu_power,rsu-1,0.0
1.04,rsu_power,rsu-2,0.0
1.04,timeout,,0.0
1.04,failure,,0.0
1.04,coverage,,0.0
1.25,vehicle_power,veh-1,0.0
1.25,vehicle_power,veh-2,0.0
1.25,rsu_power,rsu-1,0.0
1.25,rsu_power,rsu-2,0.0
1.25,timeout,,0.0
1.25,failure,,0.0
1.25,coverage,,0.0
1.29,vehicle_power,veh-1,0.0
1.29,vehicle_power,veh-2,0.0
1.29,rsu_power,rsu-1,0.0
1.29,rsu_power,rsu-2,0.0
1.29,timeout,,0.0
1.29,failure,,0.0
1.29,coverage,,0.0
1.5,vehicle_power,veh-1,0.0
1.5,vehicle_power,veh-2,0.0
1.5,rsu_power,rsu-1,0.0
1.5,rsu_power,rsu-2,0.0
1.5,timeout,,0.0
1.5,failure,,0.0
1.5,coverage,,0.0
1.54,vehicle_power,veh-1,0.0
1.54,vehicle_power,veh-2,0.0
1.54,rsu_power,rsu-1,0.0
1.54,rsu_power,rsu-2,0.0
1.54,timeout,,0.0
1.54,failure,,0.0
1.54,coverage,,0.0
1.6,vehicle_power,veh-1,0.0
1.6,vehicle_power,veh-2,0.0
1.6,rsu_power,rsu-1,0.0
1.6,rsu_power,rsu-2,0.0
1.6,timeout,,0.0
1.6,failure,,0.0
1.6,coverage,,0.0
1.75,vehicle_power,veh-1,0.0
1.75,vehicle_power,veh-2,0.0
1.75,rsu_power,rsu-1,0.0
1.75,rsu_power,rsu-2,0.0
1.75,timeout,,0.0
1.75,failure,,0.0
1.75,coverage,,0.0
1.835453476,vehicle_power,veh-1,0.0
1.835453476,vehicle_power,veh-2,0.0
1.835453476,rsu_power,rsu-1,0.0
1.835453476,rsu_power,rsu-2,0.0
1.835453476,timeout,,0.0
1.835453476,failure,,0.0
