time_s,queue_family,owner_id,value
0.25,vehicle_power,veh-1,0.0
0.25,vehicle_power,veh-2,0.0
0.25,rsu_power,rsu-1,0.0
0.25,rsu_power,rsu-2,0.0
0.25,timeout,,0.0
0.25,failure,,0.0
0.25,coverage,,0.0
0.29,vehicle_power,veh-1,0.0
0.29,vehicle_power,veh-2,0.0
0.29,rsu_power,rsu-1,0.0
0.29,rsu_power,rsu-2,0.0
0.29,timeout,,0.0
0.29,failure,,0.0
0.29,coverage,,0.0
0.5,vehicle_power,veh-1,0.0
0.5,vehicle_power,veh-2,0.0
0.5,rsu_power,rsu-1,0.0
0.5,rsu_power,rsu-2,0.0
0.5,timeout,,0.0
0.5,failure,,0.0
0.5,coverage,,0.0
0.54,vehicle_power,veh-1,0.0
0.54,vehicle_power,veh-2,0.0
0.54,rsu_power,rsu-1,0.0
0.54,rsu_power,rsu-2,0.0
0.54,timeout,,0.0
0.54,failure,,0.0
0.54,coverage,,0.0
0.75,vehicle_power,veh-1,0.0
0.75,vehicle_power,veh-2,0.0
0.75,rsu_power,rsu-1,0.0
0.75,rsu_power,rsu-2,0.0
0.75,timeout,,0.0
0.75,failure,,0.0
0.75,coverage,,0.0
0.79,vehicle_power,veh-1,0.0
0.79,vehicle_power,veh-2,0.0
0.79,rsu_power,rsu-1,0.0
0.79,rsu_power,rsu-2,0.0
0.79,timeout,,0.0
0.79,failure,,0.0
0.79,coverage,,0.0
0.963147979,vehicle_power,veh-1,0.0
0.963147979,vehicle_power,veh-2,0.0
0.963147979,rsu_power,rsu-1,0.0
0.963147979,rsu_power,rsu-2,0.0
0.963147979,timeout,,0.0
0.963147979,failure,,0.0
0.963147979,coverage,,0.75
0.986347092,vehicle_power,veh-1,0.004
0.986347092,vehicle_power,veh-2,0.0
0.986347092,rsu_power,rsu-1,0.0
0.986347092,rsu_power,rsu-2,0.0
0.986347092,timeout,,0.0
0.986347092,failure,,0.0
0.986347092,coverage,,0.75
0.9871470920000001,vehicle_power,veh-1,0.0
0.9871470920000001,vehicle_power,veh-2,0.0
0.9871470920000001,rsu_power,rsu-1,0.0
0.9871470920000001,rsu_power,rsu-2,0.0
0.9871470920000001,timeout,,0.0
0.9871470920000001,failure,,0.0
0.9871470920000001,coverage,,0.75
1.0,vehicle_power,veh-1,0.0
1.0,vehicle_power,veh-2,0.0
1.0,rsu_power,rsu-1,0.0
1.0,rsu_power,rsu-2,0.0
1.0,timeout,,0.0
1.0,failure,,0.0
1.0,coverage,,0.75
1.021147092,vehicle_power,veh-1,0.0
1.021147092,vehicle_power,veh-2,0.0
1.021147092,rsu_power,rsu-1,0.0
1.021147092,rsu_power,rsu-2,0.0
1.021147092,timeout,,0.0
1.021147092,failure,,0.0
1.021147092,coverage,,0.0
1.04,vehicle_power,veh-1,0.0
1.04,vehicle_power,veh-2,0.0
1.04,rsu_power,rsu-1,0.0
1.04,rsu_power,rsu-2,0.0
1.04,timeout,,0.0
1.04,failure,,0.0
1.04,coverage,,0.0
1.25,vehicle_power,veh-1,0.0
1.25,vehicle_power,veh-2,0.0
1.25,rsu_power,rsu-1,0.0
1.25,rsu_power,rsu-2,0.0
1.25,timeout,,0.0
1.25,failure,,0.0
1.25,coverage,,0.0
1.29,vehicle_power,veh-1,0.0
1.29,vehicle_power,veh-2,0.0
1.29,rsu_power,rsu-1,0.0
1.29,rsu_power,rsu-2,0.0
1.29,timeout,,0.0
1.29,failure,,0.0
1.29,coverage,,0.0
1.5,vehicle_power,veh-1,0.0
1.5,vehicle_power,veh-2,0.0
1.5,rsu_power,rsu-1,0.0
1.5,rsu_power,rsu-2,0.0
1.5,timeout,,0.0
1.5,failure,,0.0
1.5,coverage,,0.0
1.54,vehicle_power,veh-1,0.0
1.54,vehicle_power,veh-2,0.0
1.54,rsu_power,rsu-1,0.0
1.54,rsu_power,rsu-2,0.0
1.54,timeout,,0.0
1.54,failure,,0.0
1.54,coverage,,0.0
1.75,vehicle_power,veh-1,0.0
1.75,vehicle_power,veh-2,0.0
1.75,rsu_power,rsu-1,0.0
1.75,rsu_power,rsu-2,0.0
1.75,timeout,,0.0
1.75,failure,,0.0
1.75,coverage,,0.0
1.881718413,vehicle_power,veh-1,0.0
1.881718413,vehicle_power,veh-2,0.0
1.881718413,rsu_power,rsu-1,0.0
1.881718413,rsu_power,rsu-2,0.0
1.881718413,timeout,,0.0
1.881718413,failure,,0.0
1.881718413,coverage,,0.75
1.924439812,vehicle_power,veh-1,0.0
1.924439812,vehicle_power,veh-2,0.004
1.924439812,rsu_power,rsu-1,0.0
1.924439812,rsu_power,rsu-2,0.0
1.924439812,timeout,,0.0
1.924439812,failure,,0.0
1.924439812,coverage,,0.75
1.9252398119999998,vehicle_power,veh-1,0.0
1.9252398119999998,vehicle_power,veh-2,0.0
1.9252398119999998,rsu_power,rsu-1,0.0
1.9252398119999998,rsu_power,rsu-2,0.0
1.9252398119999998,timeout,,0.0
1.9252398119999998,failure,,0.0
