time_s,queue_family,owner_id,value
0.25,vehicle_power,veh-1,0.0
0.25,vehicle_power,veh-2,0.0
0.25,rsu_power,rsu-1,0.0
0.25,rsu_power,rsu-2,0.0
0.25,timeout,,0.0
0.25,failure,,0.0
0.25,coverage,,0.0
0.29,vehicle_power,veh-1,0.0
0.29,vehicle_power,veh-2,0.0
0.29,rsu_power,rsu-1,0.0
0.29,rsu_power,rsu-2,0.0
0.29,timeout,,0.0
0.29,failure,,0.0
0.29,coverage,,0.0
0.5,vehicle_power,veh-1,0.0
0.5,vehicle_power,veh-2,0.0
0.5,rsu_power,rsu-1,0.0
0.5,rsu_power,rsu-2,0.0
0.5,timeout,,0.0
0.5,failure,,0.0
0.5,coverage,,0.0
0.54,vehicle_power,veh-1,0.0
0.54,vehicle_power,veh-2,0.0
0.54,rsu_power,rsu-1,0.0
0.54,rsu_power,rsu-2,0.0
0.54,timeout,,0.0
0.54,failure,,0.0
0.54,coverage,,0.0
0.75,vehicle_power,veh-1,0.0
0.75,vehicle_power,veh-2,0.0
0.75,rsu_power,rsu-1,0.0
0.75,rsu_power,rsu-2,0.0
0.75,timeout,,0.0
0.75,failure,,0.0
0.75,coverage,,0.0
0.79,vehicle_power,veh-1,0.0
0.79,vehicle_power,veh-2,0.0
0.79,rsu_power,rsu-1,0.0
0.79,rsu_power,rsu-2,0.0
0.79,timeout,,0.0
0.79,failure,,0.0
0.79,coverage,,0.0
0.799704655,vehicle_power,veh-1,0.0
0.799704655,vehicle_power,veh-2,0.0
0.799704655,rsu_power,rsu-1,0.0
0.799704655,rsu_power,rsu-2,0.0
0.799704655,timeout,,0.0
0.799704655,failure,,0.0
0.799704655,coverage,,0.75
0.823725733,vehicle_power,veh-1,0.004
0.823725733,vehicle_power,veh-2,0.0
0.823725733,rsu_power,rsu-1,0.0
0.823725733,rsu_power,rsu-2,0.0
0.823725733,timeout,,0.0
0.823725733,failure,,0.0
0.823725733,coverage,,0.75
0.824525733,vehicle_power,veh-1,0.0
0.824525733,vehicle_power,veh-2,0.0
0.824525733,rsu_power,rsu-1,0.0
0.824525733,rsu_power,rsu-2,0.0
0.824525733,timeout,,0.0
0.824525733,failure,,0.0
0.824525733,coverage,,0.75
0.949362679,vehicle_power,veh-1,0.0
0.949362679,vehicle_power,veh-2,0.0
0.949362679,rsu_power,rsu-1,0.0
0.949362679,rsu_power,rsu-2,0.0
0.949362679,timeout,,0.0
0.949362679,failure,,0.0
0.949362679,coverage,,0.75
1.0,vehicle_power,veh-1,0.0
1.0,vehicle_power,veh-2,0.0
1.0,rsu_power,rsu-1,0.0
1.0,rsu_power,rsu-2,0.0
1.0,timeout,,0.0
1.0,failure,,0.0
1.0,coverage,,0.75
1.04,vehicle_power,veh-1,0.0
1.04,vehicle_power,veh-2,0.0
1.04,rsu_power,rsu-1,0.0
1.04,rsu_power,rsu-2,0.0
1.04,timeout,,0.0
1.04,failure,,0.0
1.04,coverage,,0.75
1.096229675,vehicle_power,veh-1,0.0
1.096229675,vehicle_power,veh-2,0.0
1.096229675,rsu_power,rsu-1,0.0
1.096229675,rsu_power,rsu-2,0.0
1.096229675,timeout,,0.0
1.096229675,failure,,0.0
1.096229675,coverage,,0.75
1.103729675,vehicle_power,veh-1,0.0
1.103729675,vehicle_power,veh-2,0.0
1.103729675,rsu_power,rsu-1,0.0
1.103729675,rsu_power,rsu-2,0.0
1.103729675,timeout,,0.0
1.103729675,failure,,0.0
1.103729675,coverage,,0.75
1.1117782950000001,vehicle_power,veh-1,0.004
1.1117782950000001,vehicle_power,veh-2,0.0
1.1117782950000001,rsu_power,rsu-1,0.0
1.1117782950000001,rsu_power,rsu-2,0.0
1.1117782950000001,timeout,,0.0
1.1117782950000001,failure,,0.0
1.1117782950000001,coverage,,0.75
1.112578295,vehicle_power,veh-1,0.0
1.112578295,vehicle_power,veh-2,0.0
1.112578295,rsu_power,rsu-1,0.0
1.112578295,rsu_power,rsu-2,0.0
1.112578295,timeout,,0.0
1.112578295,failure,,0.0
1.112578295,coverage,,0.75
1.2,vehicle_power,veh-1,0.0
1.2,vehicle_power,veh-2,0.0
1.2,rsu_power,rsu-1,0.0
1.2,rsu_power,rsu-2,0.0
1.2,timeout,,0.0
1.2,failure,,0.0
1.2,coverage,,0.75
1.25,vehicle_power,veh-1,0.0
1.25,vehicle_power,veh-2,0.0
1.25,rsu_power,rsu-1,0.0
1.25,rsu_power,rsu-2,0.0
1.25,timeout,,0.0
1.25,failure,,0.0
1.25,coverage,,0.75
1.2800789585528356,vehicle_power,veh-1,0.0
1.2800789585528356,vehicle_power,veh-2,0.0
1.2800789585528356,rsu_power,rsu-1,0.0
1.2800789585528356,rsu_power,rsu-2,0.0
1.2800789585528356,timeout,,0.0
1.2800789585528356,failure,,0.0
1.2800789585528356,coverage,,0.75
1.2800789585528358,vehicle_power,veh-1,0.0
1.2800789585528358,vehicle_power,veh-2,0.0
1.2800789585528358,rsu_power,rsu-1,0.0
