task_id,vehicle_id,state,arrival_time_s,relative_deadline_s,absolute_deadline_s,terminal_time_s,terminal_latency_s,cost_latency_s,done,failed,timeout,result_valid,failure_reason,realized_fer_loss,all_task_loss,failure_penalty_cost,selected_pipeline,selected_local_model,selected_rsu,selected_edge_model,attempt_started_count,max_attempts,trace_row_id,artifact_key,encoded_size_bytes,ul_remaining_bits,dl_remaining_bits,vehicle_compute_radio_energy_j,vehicle_hold_energy_j,vehicle_attributed_energy_j,rsu_compute_radio_energy_j,rsu_hold_energy_j,rsu_attributed_energy_j,actual_path_json,phase_history_json,enqueue_times_json,start_times_json,end_times_json,compute_audit_json,anon_attempts_json,network_audit_json,rsu_audit_json
test-task-00000,veh-1,DONE,0.802845589,0.963273465,1.766119054,0.861666667,0.05882107800000003,0.05882107800000003,True,False,False,True,NONE,0.339144478,0.339144478,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.6742360699999997,0.008823161700000004,0.6830592316999997,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":0.802845589,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":0.802845589,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":0.802845589,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":0.826866667,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":0.827666667,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":0.827666667,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":0.861666667,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[0.827666667],""PREP"":[0.802845589]}","{""LOCAL_FER"":[0.827666667],""PREP"":[0.802845589]}","{""LOCAL_FER"":[0.861666667],""PREP"":[0.826866667]}",[],[],[],[]
test-task-00001,veh-2,DONE,1.569124787,0.988445154,2.557569941,1.680707606,0.11158281899999989,0.11158281899999989,True,False,False,True,NONE,0.31092912,0.31092912,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.8374328639999995,0.013389938279999986,0.8508228022799995,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":1.569124787,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":1.569124787,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":1.569124787,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":1.611707606,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":1.6125076059999999,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":1.6125076059999999,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":1.680707606,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[1.6125076059999999],""PREP"":[1.569124787]}","{""LOCAL_FER"":[1.6125076059999999],""PREP"":[1.569124787]}","{""LOCAL_FER"":[1.680707606],""PREP"":[1.611707606]}",[],[],[],[]
test-task-00002,veh-1,DONE,2.389516331,1.388987622,3.7785039529999995,2.4508246799999998,0.06130834899999993,0.06130834899999993,True,False,False,True,NONE,0.173073724,0.173073724,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.7041335069999985,0.00919625234999999,0.7133297593499985,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":2.389516331,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":2.389516331,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":2.389516331,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":2.41262468,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":2.41342468,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":2.41342468,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":2.4508246799999998,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[2.41342468],""PREP"":[2.389516331]}","{""LOCAL_FER"":[2.41342468],""PREP"":[2.389516331]}","{""LOCAL_FER"":[2.4508246799999998],""PREP"":[2.41262468]}",[],[],[],[]
test-task-00003,veh-2,DONE,3.189302119,0.750168538,3.939470657,3.3008849380000003,0.11158281900000011,0.11158281900000011,True,False,False,True,NONE,0.31092912,0.31092912,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.8374328640000002,0.013389938280000013,0.8508228022800002,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":3.189302119,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":3.189302119,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":3.189302119,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":3.2318849380000003,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":3.2326849380000002,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":3.2326849380000002,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":3.3008849380000003,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[3.2326849380000002],""PREP"":[3.189302119]}","{""LOCAL_FER"":[3.2326849380000002],""PREP"":[3.189302119]}","{""LOCAL_FER"":[3.3008849380000003],""PREP"":[3.2318849380000003]}",[],[],[],[]
test-task-00004,veh-1,DONE,3.968037102,1.284399846,5.252436948,4.02685818,0.058821077999999805,0.058821077999999805,True,False,False,True,NONE,0.339144478,0.339144478,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.6742360699999976,0.00882316169999997,0.6830592316999976,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":3.968037102,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":3.968037102,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":3.968037102,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":3.99205818,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":3.99285818,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":3.99285818,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":4.02685818,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[3.99285818],""PREP"":[3.968037102]}","{""LOCAL_FER"":[3.99285818],""PREP"":[3.968037102]}","{""LOCAL_FER"":[4.02685818],""PREP"":[3.99205818]}",[],[],[],[]
test-task-00005,veh-2,DONE,4.818210237,1.124520627,5.942730864,4.974959951285714,0.1567497142857146,0.1567497142857146,True,False,False,True,NONE,0.272794608,0.272794608,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.8254595219999998,0.018809965714285753,0.8442694877142856,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":4.818210237,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":4.818210237,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":4.818210237,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":4.876731379857143,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":4.8775313798571425,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":4.8775313798571425,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":4.974959951285714,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[4.8775313798571425],""PREP"":[4.818210237]}","{""LOCAL_FER"":[4.8775313798571425],""PREP"":[4.818210237]}","{""LOCAL_FER"":[4.974959951285714],""PREP"":[4.876731379857143]}",[],[],[],[]
test-task-00006,veh-1,DONE,5.568579579,1.31937195,6.8879515289999995,5.655820077571428,0.08724049857142813,0.08724049857142813,True,False,False,True,NONE,0.173073724,0.173073724,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.704133506999997,0.013086074785714219,0.7172195817857112,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":5.568579579,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":5.568579579,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":5.568579579,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":5.6015915061428565,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":5.602391506142856,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":5.602391506142856,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":5.655820077571428,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[5.602391506142856],""PREP"":[5.568579579]}","{""LOCAL_FER"":[5.602391506142856],""PREP"":[5.568579579]}","{""LOCAL_FER"":[5.655820077571428],""PREP"":[5.6015915061428565]}",[],[],[],[]
test-task-00007,veh-2,DONE,6.437274671,0.922671109,7.35994578,6.585167242428572,0.1478925714285717,0.1478925714285717,True,False,False,True,NONE,0.173073724,0.173073724,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.7783395219999998,0.017747108571428603,0.7960866305714284,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":6.437274671,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":6.437274671,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":6.437274671,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":6.495795813857143,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":6.496595813857143,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":6.496595813857143,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":6.585167242428572,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[6.496595813857143],""PREP"":[6.437274671]}","{""LOCAL_FER"":[6.496595813857143],""PREP"":[6.437274671]}","{""LOCAL_FER"":[6.585167242428572],""PREP"":[6.495795813857143]}",[],[],[],[]
test-task-00008,veh-1,DONE,7.177168426,0.856743597,8.033912023,7.235076775,0.05790834899999986,0.05790834899999986,True,False,False,True,NONE,0.246930275,0.246930275,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.6640135069999977,0.008686252349999979,0.6726997593499977,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":7.177168426,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":7.177168426,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":7.177168426,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":7.200276775,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":7.201076775,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":7.201076775,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":7.235076775,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[7.201076775],""PREP"":[7.177168426]}","{""LOCAL_FER"":[7.201076775],""PREP"":[7.177168426]}","{""LOCAL_FER"":[7.235076775],""PREP"":[7.200276775]}",[],[],[],[]
test-task-00009,veh-2,DONE,8.019183725,0.778621075,8.7978048,8.129148524999998,0.10996479999999842,0.10996479999999842,True,False,False,True,NONE,0.272794608,0.272794608,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.8254595219999887,0.013195775999999809,0.8386552979999885,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":8.019183725,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":8.019183725,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":8.019183725,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":8.060148524999999,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":8.060948524999999,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":8.060948524999999,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":8.129148524999998,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[8.060948524999999],""PREP"":[8.019183725]}","{""LOCAL_FER"":[8.060948524999999],""PREP"":[8.019183725]}","{""LOCAL_FER"":[8.129148524999998],""PREP"":[8.060148524999999]}",[],[],[],[]
