time_s,queue_family,owner_id,value
0.25,vehicle_power,veh-1,0.0
0.25,vehicle_power,veh-2,0.0
0.25,rsu_power,rsu-1,0.0
0.25,rsu_power,rsu-2,0.0
0.25,timeout,,0.0
0.25,failure,,0.0
0.25,coverage,,0.0
0.29,vehicle_power,veh-1,0.0
0.29,vehicle_power,veh-2,0.0
0.29,rsu_power,rsu-1,0.0
0.29,rsu_power,rsu-2,0.0
0.29,timeout,,0.0
0.29,failure,,0.0
0.29,coverage,,0.0
0.5,vehicle_power,veh-1,0.0
0.5,vehicle_power,veh-2,0.0
0.5,rsu_power,rsu-1,0.0
0.5,rsu_power,rsu-2,0.0
0.5,timeout,,0.0
0.5,failure,,0.0
0.5,coverage,,0.0
0.54,vehicle_power,veh-1,0.0
0.54,vehicle_power,veh-2,0.0
0.54,rsu_power,rsu-1,0.0
0.54,rsu_power,rsu-2,0.0
0.54,timeout,,0.0
0.54,failure,,0.0
0.54,coverage,,0.0
0.75,vehicle_power,veh-1,0.0
0.75,vehicle_power,veh-2,0.0
0.75,rsu_power,rsu-1,0.0
0.75,rsu_power,rsu-2,0.0
0.75,timeout,,0.0
0.75,failure,,0.0
0.75,coverage,,0.0
0.79,vehicle_power,veh-1,0.0
0.79,vehicle_power,veh-2,0.0
0.79,rsu_power,rsu-1,0.0
0.79,rsu_power,rsu-2,0.0
0.79,timeout,,0.0
0.79,failure,,0.0
0.79,coverage,,0.0
0.802845589,vehicle_power,veh-1,0.0
0.802845589,vehicle_power,veh-2,0.0
0.802845589,rsu_power,rsu-1,0.0
0.802845589,rsu_power,rsu-2,0.0
0.802845589,timeout,,0.0
0.802845589,failure,,0.0
0.802845589,coverage,,0.75
0.826866667,vehicle_power,veh-1,0.0
0.826866667,vehicle_power,veh-2,0.0
0.826866667,rsu_power,rsu-1,0.0
0.826866667,rsu_power,rsu-2,0.0
0.826866667,timeout,,0.0
0.826866667,failure,,0.0
0.826866667,coverage,,0.75
0.827666667,vehicle_power,veh-1,0.0
0.827666667,vehicle_power,veh-2,0.0
0.827666667,rsu_power,rsu-1,0.0
0.827666667,rsu_power,rsu-2,0.0
0.827666667,timeout,,0.0
0.827666667,failure,,0.0
0.827666667,coverage,,0.75
0.953501283,vehicle_power,veh-1,0.0
0.953501283,vehicle_power,veh-2,0.0
0.953501283,rsu_power,rsu-1,0.0
0.953501283,rsu_power,rsu-2,0.0
0.953501283,timeout,,0.0
0.953501283,failure,,0.0
0.953501283,coverage,,0.75
1.0,vehicle_power,veh-1,0.0
1.0,vehicle_power,veh-2,0.0
1.0,rsu_power,rsu-1,0.0
1.0,rsu_power,rsu-2,0.0
1.0,timeout,,0.0
1.0,failure,,0.0
1.0,coverage,,0.75
1.04,vehicle_power,veh-1,0.0
1.04,vehicle_power,veh-2,0.0
1.04,rsu_power,rsu-1,0.0
1.04,rsu_power,rsu-2,0.0
1.04,timeout,,0.0
1.04,failure,,0.0
1.04,coverage,,0.75
1.101542007,vehicle_power,veh-1,0.0
1.101542007,vehicle_power,veh-2,0.0
1.101542007,rsu_power,rsu-1,0.0
1.101542007,rsu_power,rsu-2,0.0
1.101542007,timeout,,0.0
1.101542007,failure,,0.0
1.101542007,coverage,,0.75
1.109042007,vehicle_power,veh-1,0.0
1.109042007,vehicle_power,veh-2,0.0
1.109042007,rsu_power,rsu-1,0.0
1.109042007,rsu_power,rsu-2,0.0
1.109042007,timeout,,0.0
1.109042007,failure,,0.0
1.109042007,coverage,,0.75
1.117090627,vehicle_power,veh-1,0.0
1.117090627,vehicle_power,veh-2,0.0
1.117090627,rsu_power,rsu-1,0.0
1.117090627,rsu_power,rsu-2,0.0
1.117090627,timeout,,0.0
1.117090627,failure,,0.0
1.117090627,coverage,,0.75
1.117890627,vehicle_power,veh-1,0.0
1.117890627,vehicle_power,veh-2,0.0
1.117890627,rsu_power,rsu-1,0.0
1.117890627,rsu_power,rsu-2,0.0
1.117890627,timeout,,0.0
1.117890627,failure,,0.0
1.117890627,coverage,,0.75
1.1968924290806717,vehicle_power,veh-1,0.0
1.1968924290806717,vehicle_power,veh-2,0.0
1.1968924290806717,rsu_power,rsu-1,0.0
1.1968924290806717,rsu_power,rsu-2,0.0
1.1968924290806717,timeout,,0.0
1.1968924290806717,failure,,0.0
1.1968924290806717,coverage,,0.75
1.2,vehicle_power,veh-1,0.0
1.2,vehicle_power,veh-2,0.0
1.2,rsu_power,rsu-1,0.0
1.2,rsu_power,rsu-2,0.0
1.2,timeout,,0.0
1.2,failure,,0.0
1.2,coverage,,0.75
1.2308924290806718,vehicle_power,veh-1,0.0
1.2308924290806718,vehicle_power,veh-2,0.0
1.2308924290806718,rsu_power,rsu-1,0.0
1.2308924290806718,rsu_power,rsu-2,0.0
1.2308924290806718,timeout,,0.0
1.2308924290806718,failure,,0.0
1.2308924290806718,coverage,,0.0
1.25,vehicle_power,veh-1,0.0
1.25,vehicle_power,veh-2,0.0
1.25,rsu_power,rsu-1,0.0
