task_id,vehicle_id,state,arrival_time_s,relative_deadline_s,absolute_deadline_s,terminal_time_s,terminal_latency_s,cost_latency_s,done,failed,timeout,result_valid,failure_reason,realized_fer_loss,all_task_loss,failure_penalty_cost,selected_pipeline,selected_local_model,selected_rsu,selected_edge_model,attempt_started_count,max_attempts,trace_row_id,artifact_key,encoded_size_bytes,ul_remaining_bits,dl_remaining_bits,vehicle_compute_radio_energy_j,vehicle_hold_energy_j,vehicle_attributed_energy_j,rsu_compute_radio_energy_j,rsu_hold_energy_j,rsu_attributed_energy_j,actual_path_json,phase_history_json,enqueue_times_json,start_times_json,end_times_json,compute_audit_json,anon_attempts_json,network_audit_json,rsu_audit_json
test-task-00000,veh-1,DONE,0.767908942,1.052414978,1.82032392,0.8267300200000001,0.05882107800000003,0.05882107800000003,True,False,False,True,NONE,0.276572782,0.276572782,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.6742360699999996,0.008823161700000004,0.6830592316999996,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":0.767908942,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":0.767908942,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":0.767908942,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":0.79193002,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":0.79273002,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":0.79273002,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":0.8267300200000001,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[0.79273002],""PREP"":[0.767908942]}","{""LOCAL_FER"":[0.79273002],""PREP"":[0.767908942]}","{""LOCAL_FER"":[0.8267300200000001],""PREP"":[0.79193002]}",[],[],[],[]
test-task-00001,veh-2,DONE,1.565615551,1.26727719,2.832892741,1.67719837,0.11158281899999989,0.11158281899999989,True,False,False,True,NONE,0.326227289,0.326227289,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.8374328639999995,0.013389938279999986,0.8508228022799995,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":1.565615551,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":1.565615551,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":1.565615551,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":1.60819837,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":1.60899837,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":1.60899837,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":1.67719837,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[1.60899837],""PREP"":[1.565615551]}","{""LOCAL_FER"":[1.60899837],""PREP"":[1.565615551]}","{""LOCAL_FER"":[1.67719837],""PREP"":[1.60819837]}",[],[],[],[]
test-task-00002,veh-1,DONE,2.370898977,0.813312472,3.184211449,2.432207326,0.06130834899999993,0.06130834899999993,True,False,False,True,NONE,0.23052541,0.23052541,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.7041335069999985,0.00919625234999999,0.7133297593499985,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":2.370898977,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":2.370898977,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":2.370898977,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":2.394007326,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":2.394807326,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":2.394807326,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":2.432207326,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[2.394807326],""PREP"":[2.370898977]}","{""LOCAL_FER"":[2.394807326],""PREP"":[2.370898977]}","{""LOCAL_FER"":[2.432207326],""PREP"":[2.394007326]}",[],[],[],[]
test-task-00003,veh-2,DONE,3.238554465,1.325093452,4.563647917,3.343937284,0.1053828189999999,0.1053828189999999,True,False,False,True,NONE,0.331230296,0.331230296,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.7903128639999988,0.012645938279999987,0.8029588022799987,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":3.238554465,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":3.238554465,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":3.238554465,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":3.281137284,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":3.281937284,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":3.281937284,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":3.343937284,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[3.281937284],""PREP"":[3.238554465]}","{""LOCAL_FER"":[3.281937284],""PREP"":[3.238554465]}","{""LOCAL_FER"":[3.343937284],""PREP"":[3.281137284]}",[],[],[],[]
test-task-00004,veh-1,DONE,4.002768324,0.879177099,4.8819454229999995,4.061589401999999,0.05882107799999936,0.05882107799999936,True,False,False,True,NONE,0.276572782,0.276572782,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.6742360699999936,0.008823161699999905,0.6830592316999935,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":4.002768324,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":4.002768324,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":4.002768324,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":4.0267894019999995,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":4.027589401999999,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":4.027589401999999,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":4.061589401999999,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[4.027589401999999],""PREP"":[4.002768324]}","{""LOCAL_FER"":[4.027589401999999],""PREP"":[4.002768324]}","{""LOCAL_FER"":[4.061589401999999],""PREP"":[4.0267894019999995]}",[],[],[],[]
test-task-00005,veh-2,DONE,4.790163027,1.050502765,5.840665792,4.938055598428572,0.1478925714285717,0.1478925714285717,True,False,False,True,NONE,0.23052541,0.23052541,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.7783395219999998,0.017747108571428603,0.7960866305714284,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":4.790163027,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":4.790163027,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":4.790163027,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":4.848684169857143,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":4.849484169857143,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":4.849484169857143,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":4.938055598428572,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[4.849484169857143],""PREP"":[4.790163027]}","{""LOCAL_FER"":[4.849484169857143],""PREP"":[4.790163027]}","{""LOCAL_FER"":[4.938055598428572],""PREP"":[4.848684169857143]}",[],[],[],[]
test-task-00006,veh-1,DONE,5.629095749,0.949556848,6.5786525970000005,5.716336247571428,0.08724049857142813,0.08724049857142813,True,False,False,True,NONE,0.23052541,0.23052541,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.704133506999997,0.013086074785714219,0.7172195817857112,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":5.629095749,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":5.629095749,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":5.629095749,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":5.662107676142857,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":5.662907676142857,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":5.662907676142857,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":5.716336247571428,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[5.662907676142857],""PREP"":[5.629095749]}","{""LOCAL_FER"":[5.662907676142857],""PREP"":[5.629095749]}","{""LOCAL_FER"":[5.716336247571428],""PREP"":[5.662107676142857]}",[],[],[],[]
test-task-00007,veh-2,DONE,6.422663981,1.156730348,7.579394329,6.579413695285715,0.1567497142857146,0.1567497142857146,True,False,False,True,NONE,0.31779626,0.31779626,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.8254595219999997,0.018809965714285753,0.8442694877142854,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":6.422663981,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":6.422663981,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":6.422663981,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":6.481185123857143,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":6.481985123857143,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":6.481985123857143,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":6.579413695285715,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[6.481985123857143],""PREP"":[6.422663981]}","{""LOCAL_FER"":[6.481985123857143],""PREP"":[6.422663981]}","{""LOCAL_FER"":[6.579413695285715],""PREP"":[6.481185123857143]}",[],[],[],[]
test-task-00008,veh-1,DONE,7.181154082,0.765512406,7.946666488,7.242462431,0.06130834899999993,0.06130834899999993,True,False,False,True,NONE,0.23052541,0.23052541,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.7041335069999985,0.00919625234999999,0.7133297593499985,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":7.181154082,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":7.181154082,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":7.181154082,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":7.204262431,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":7.205062431,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":7.205062431,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":7.242462431,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[7.205062431],""PREP"":[7.181154082]}","{""LOCAL_FER"":[7.205062431],""PREP"":[7.181154082]}","{""LOCAL_FER"":[7.242462431],""PREP"":[7.204262431]}",[],[],[],[]
test-task-00009,veh-2,DONE,7.988594695,1.004500317,8.993095012,8.098559494999998,0.10996479999999842,0.10996479999999842,True,False,False,True,NONE,0.31779626,0.31779626,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.8254595219999887,0.013195775999999809,0.8386552979999885,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":7.988594695,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":7.988594695,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":7.988594695,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":8.029559494999999,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":8.030359494999999,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":8.030359494999999,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":8.098559494999998,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[8.030359494999999],""PREP"":[7.988594695]}","{""LOCAL_FER"":[8.030359494999999],""PREP"":[7.988594695]}","{""LOCAL_FER"":[8.098559494999998],""PREP"":[8.029559494999999]}",[],[],[],[]
