task_id,vehicle_id,state,arrival_time_s,relative_deadline_s,absolute_deadline_s,terminal_time_s,terminal_latency_s,cost_latency_s,done,failed,timeout,result_valid,failure_reason,realized_fer_loss,all_task_loss,failure_penalty_cost,selected_pipeline,selected_local_model,selected_rsu,selected_edge_model,attempt_started_count,max_attempts,trace_row_id,artifact_key,encoded_size_bytes,ul_remaining_bits,dl_remaining_bits,vehicle_compute_radio_energy_j,vehicle_hold_energy_j,vehicle_attributed_energy_j,rsu_compute_radio_energy_j,rsu_hold_energy_j,rsu_attributed_energy_j,actual_path_json,phase_history_json,enqueue_times_json,start_times_json,end_times_json,compute_audit_json,anon_attempts_json,network_audit_json,rsu_audit_json
test-task-00000,veh-1,DONE,0.762795543,1.396766062,2.159561605,0.821616621,0.05882107800000003,0.05882107800000003,True,False,False,True,NONE,0.315266712,0.315266712,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.6742360699999997,0.008823161700000004,0.6830592316999997,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":0.762795543,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":0.762795543,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":0.762795543,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":0.7868166209999999,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":0.787616621,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":0.787616621,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":0.821616621,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[0.787616621],""PREP"":[0.762795543]}","{""LOCAL_FER"":[0.787616621],""PREP"":[0.762795543]}","{""LOCAL_FER"":[0.821616621],""PREP"":[0.7868166209999999]}",[],[],[],[]
test-task-00001,veh-2,DONE,1.560580061,1.0405507,2.6011307610000003,1.67216288,0.11158281899999989,0.11158281899999989,True,False,False,True,NONE,0.306983951,0.306983951,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.8374328639999995,0.013389938279999986,0.8508228022799995,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":1.560580061,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":1.560580061,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":1.560580061,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":1.60316288,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":1.6039628799999999,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":1.6039628799999999,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":1.67216288,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[1.6039628799999999],""PREP"":[1.560580061]}","{""LOCAL_FER"":[1.6039628799999999],""PREP"":[1.560580061]}","{""LOCAL_FER"":[1.67216288],""PREP"":[1.60316288]}",[],[],[],[]
test-task-00002,veh-1,DONE,2.401418896,1.248881127,3.650300023,2.462727245,0.06130834899999993,0.06130834899999993,True,False,False,True,NONE,0.240800386,0.240800386,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.7041335069999985,0.00919625234999999,0.7133297593499985,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":2.401418896,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":2.401418896,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":2.401418896,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":2.424527245,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":2.425327245,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":2.425327245,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":2.462727245,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[2.425327245],""PREP"":[2.401418896]}","{""LOCAL_FER"":[2.425327245],""PREP"":[2.401418896]}","{""LOCAL_FER"":[2.462727245],""PREP"":[2.424527245]}",[],[],[],[]
test-task-00003,veh-2,DONE,3.181224858,1.025584127,4.206808985,3.2928076770000003,0.11158281900000011,0.11158281900000011,True,False,False,True,NONE,0.306983951,0.306983951,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.837432864,0.013389938280000013,0.8508228022800001,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":3.181224858,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":3.181224858,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":3.181224858,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":3.2238076770000004,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":3.2246076770000003,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":3.2246076770000003,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":3.2928076770000003,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[3.2246076770000003],""PREP"":[3.181224858]}","{""LOCAL_FER"":[3.2246076770000003],""PREP"":[3.181224858]}","{""LOCAL_FER"":[3.2928076770000003],""PREP"":[3.2238076770000004]}",[],[],[],[]
test-task-00004,veh-1,DONE,4.007179654,1.22561083,5.232790484,4.066000731999999,0.05882107799999936,0.05882107799999936,True,False,False,True,NONE,0.315266712,0.315266712,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.6742360699999936,0.008823161699999903,0.6830592316999935,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":4.007179654,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":4.007179654,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":4.007179654,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":4.031200731999999,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":4.032000731999999,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":4.032000731999999,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":4.066000731999999,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[4.032000731999999],""PREP"":[4.007179654]}","{""LOCAL_FER"":[4.032000731999999],""PREP"":[4.007179654]}","{""LOCAL_FER"":[4.066000731999999],""PREP"":[4.031200731999999]}",[],[],[],[]
test-task-00005,veh-2,DONE,4.804192188,0.949411116,5.753603304,4.960941902285715,0.1567497142857146,0.1567497142857146,True,False,False,True,NONE,0.248375129,0.248375129,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.8254595219999998,0.018809965714285753,0.8442694877142856,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":4.804192188,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":4.804192188,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":4.804192188,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":4.862713330857143,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":4.863513330857143,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":4.863513330857143,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":4.960941902285715,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[4.863513330857143],""PREP"":[4.804192188]}","{""LOCAL_FER"":[4.863513330857143],""PREP"":[4.804192188]}","{""LOCAL_FER"":[4.960941902285715],""PREP"":[4.862713330857143]}",[],[],[],[]
test-task-00006,veh-1,DONE,5.561308816,0.985329243,6.546638059,5.643692171714286,0.08238335571428568,0.08238335571428568,True,False,False,True,NONE,0.196735051,0.196735051,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.6640135069999975,0.012357503357142852,0.6763710103571403,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":5.561308816,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":5.561308816,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":5.561308816,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":5.594320743142857,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":5.595120743142857,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":5.595120743142857,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":5.643692171714286,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[5.595120743142857],""PREP"":[5.561308816]}","{""LOCAL_FER"":[5.595120743142857],""PREP"":[5.561308816]}","{""LOCAL_FER"":[5.643692171714286],""PREP"":[5.594320743142857]}",[],[],[],[]
test-task-00007,veh-2,DONE,6.427569645,1.225503389,7.653073034,6.575462216428572,0.1478925714285717,0.1478925714285717,True,False,False,True,NONE,0.240800386,0.240800386,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.7783395219999998,0.017747108571428603,0.7960866305714284,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":6.427569645,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":6.427569645,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":6.427569645,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":6.486090787857143,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":6.486890787857143,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":6.486890787857143,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":6.575462216428572,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[6.486890787857143],""PREP"":[6.427569645]}","{""LOCAL_FER"":[6.486890787857143],""PREP"":[6.427569645]}","{""LOCAL_FER"":[6.575462216428572],""PREP"":[6.486090787857143]}",[],[],[],[]
test-task-00008,veh-1,DONE,7.23173356,1.073666531,8.305400091000001,7.289641909,0.05790834899999986,0.05790834899999986,True,False,False,True,NONE,0.196735051,0.196735051,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.6640135069999977,0.008686252349999979,0.6726997593499977,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":7.23173356,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":7.23173356,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":7.23173356,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":7.2548419090000005,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":7.255641909,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":7.255641909,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":7.289641909,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[7.255641909],""PREP"":[7.23173356]}","{""LOCAL_FER"":[7.255641909],""PREP"":[7.23173356]}","{""LOCAL_FER"":[7.289641909],""PREP"":[7.2548419090000005]}",[],[],[],[]
test-task-00009,veh-2,DONE,8.034371935,0.842429521,8.876801455999999,8.144336734999998,0.10996479999999842,0.10996479999999842,True,False,False,True,NONE,0.248375129,0.248375129,0.0,,local_fer_numerical_v1,,,0,0,,,,0.0,0.0,0.8254595219999887,0.013195775999999809,0.8386552979999885,0.0,0.0,0.0,"[""PREP"",""LOCAL_FER""]","[{""current"":""RAW_BUF"",""detail"":null,""previous"":null,""time_s"":8.034371935,""trigger"":""ARRIVAL""},{""current"":""PREP_WAIT"",""detail"":null,""previous"":""RAW_BUF"",""time_s"":8.034371935,""trigger"":""PREP_ENQUEUE""},{""current"":""PREP_RUN"",""detail"":null,""previous"":""PREP_WAIT"",""time_s"":8.034371935,""trigger"":""PREP_START""},{""current"":""RAW"",""detail"":null,""previous"":""PREP_RUN"",""time_s"":8.075336734999999,""trigger"":""PREP_DONE""},{""current"":""LOCAL_WAIT"",""detail"":null,""previous"":""RAW"",""time_s"":8.076136734999999,""trigger"":""LOCAL_ENQUEUE""},{""current"":""LOCAL_RUN"",""detail"":null,""previous"":""LOCAL_WAIT"",""time_s"":8.076136734999999,""trigger"":""LOCAL_START""},{""current"":""DONE"",""detail"":null,""previous"":""LOCAL_RUN"",""time_s"":8.144336734999998,""trigger"":""LOCAL_DONE""}]","{""LOCAL_FER"":[8.076136734999999],""PREP"":[8.034371935]}","{""LOCAL_FER"":[8.076136734999999],""PREP"":[8.034371935]}","{""LOCAL_FER"":[8.144336734999998],""PREP"":[8.075336734999999]}",[],[],[],[]
